SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Sociocultural enablers and barriers to individual physical activity behaviour such as gender, family, peers, socioeconomic status, community and cultural norms",,1,3
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Prevalence and trends of physical activity, physical inactivity and sedentary behaviour",,1,4
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Physical activity and sedentary behaviour guidelines for different age population groups,,1,5
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Subjective and objective methods of assessing physical activity and sedentary behaviour, such as recall surveys or diaries, pedometry, observation tools, digital tools and wearable technology",,1,6
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Components of the social-ecological model (individual, social environment, physical environment and policy)",,1,7
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,A range of population-based initiatives that target enablers of and barriers to physical activity,,1,8
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Health-related fitness components and factors affecting aerobic power, muscular strength and endurance and flexibility",,1,9
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Functional Movement Assessment (FMA):,,1,10
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Physiological, psychological and sociocultural considerations",,1,11
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Pre-participation health screening,,1,12
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,Informed consent,,1,13
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Assessment reliability, validity and accuracy",,1,14
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KK,Outcome 1,PE Students,,Key Knowledge,"Considerations of a personalised plan, including self-management skills, used to promote physical activity and reduce sedentary behaviour.",,1,15
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KS,Outcome 1,PE Students,,Key Skills,"Participate in and explain different types of movement experiences, including a variety of culturally diverse and inclusive physical activities",,1,1
Health and Physical Education,PE,,,Year 11,Unit 2,"Physical activity, sport, exercise and society",VCEPEU2AS1,,"Area of Study 1 - How do physical activity, sport and exercise contribute to healthy lifestyles?",,VCEPEU2AS1O1KS,Outcome 1,PE Students,,Key Skills,"Participate in a variety of movement experiences to reflect on and record information related to the physical, social, mental, emotional and spiritual benefits of physical activity",,1,2
