SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KS,Activity,Bullet,Access 'If it were my home' to compare Australia to a variety of middle- and low-income countries.,,,,16
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"In small groups, use WHO data for a high-, middle- and low-income country to create a mind map that compares and contrasts a country in each classification.",,,,17
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"In small groups, create a Symbaloo with a focus on factors (such as access to safe water, sanitation, poverty and discrimination) that contribute to similarities and differences in health status and human development, with links to related information, case studies and videos.",,,,18
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"Use the UNICEF resources 'This girl spends eight hours a day doing something that takes us seconds' and 'The Power of water in Afghanistan' to create a mind map analysing relationship of access to safe water and sanitation on health status and human development for both Ethiopia and Afghanistan, as compared to Australia.",,,,19
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"Use the World Bank video Yemen: rainwater harvesting (2022, 2.20 min) to analyse the impact on health status and human development of the lack of access to water.",,,,20
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"View the video 'Slum stories: Kenya - Going to the toilet in a slum' (Amnesty International 2011, 6 mins) to compare access to sanitation in low- and high-income countries. Analyse how lack of access to sanitation can contribute to poor health status and human development.",,,,21
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"View the World Vision videos 'What is poverty' (2015, 3.04 min) and 'What causes poverty' (2015, 3.39 min) to explore similarities and differences in health status and human development between Australia and Timor Leste. Analyse how poverty contributes to these differences.",,,,22
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,Brainstorm different types of discrimination and the impacts on health status and human development. Record your ideas as a Padlet,,,,23
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"Explore the meanings of sex, gender identity and sexual orientation. Refer to the Beyond Blue website The impact of discrimination and discuss forms of discrimination and the impact on health status.",,,,24
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"Use the United Nations Population Fund article 'Champion of change: How a Tanzanian youth activist is rallying for gender equality in her community' (2024) to analyse the impact of discrimination based on sex, on the health and human development of girls in Tanzania.",,,,25
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,Use the VicHealth Research Summary Ethnic and race-based discrimination to explore the link between race-based discrimination and health.,,,,26
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"View the video 'Sustainability easily explained' (explainity channel 2012, YouTube, 4 mins). Summaries the dimensions of sustainability.",,,,27
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"Use a variety of case studies such as Practical Action - Killer in the kitchen or other Practical Action projects to show how sustainable action or programs across the three areas (environmental, social and economic) can promote health and human development.",,,,28
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"As a class or in small groups, create a mind map that identifies possible health and human development outcomes for each of the following global trends:",,,,29
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,Climate change,"As a class or in small groups, create a mind map that identifies possible health and human development outcomes for each of the following global trends:",,,30
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,Conflict,"As a class or in small groups, create a mind map that identifies possible health and human development outcomes for each of the following global trends:",,,31
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,Mass migration,"As a class or in small groups, create a mind map that identifies possible health and human development outcomes for each of the following global trends:",,,32
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,Increased world trade,"As a class or in small groups, create a mind map that identifies possible health and human development outcomes for each of the following global trends:",,,33
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,Tourism,"As a class or in small groups, create a mind map that identifies possible health and human development outcomes for each of the following global trends:",,,34
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,Digital technologies.,"As a class or in small groups, create a mind map that identifies possible health and human development outcomes for each of the following global trends:",,,35
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"Complete a climate change KWL, which identifies:",,,,36
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,What you Know about climate change and the impact on health and human development,"Complete a climate change KWL, which identifies:",,,37
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,What you Want to know about climate change and the impact on health and human development,"Complete a climate change KWL, which identifies:",,,38
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,What have you Learnt.,"Complete a climate change KWL, which identifies:",,,39
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"View the World Health Organization video 'How is climate change affecting the Pacific?' (2020, 7.35 min) and consider the implications of climate change on health and human development for different Pacific Island countries.",,,,40
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"Use the Intergovernmental Panel on Climate Change video 'Climate Change 2022: Impacts, Adaptation and vulnerability' (2022, 13.45 min) to discuss:",,,,41
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,The impacts of climate change on the planet,"Use the Intergovernmental Panel on Climate Change video 'Climate Change 2022: Impacts, Adaptation and vulnerability' (2022, 13.45 min) to discuss:",,,42
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,The relationships between human health and wellbeing and the health of the planet,"Use the Intergovernmental Panel on Climate Change video 'Climate Change 2022: Impacts, Adaptation and vulnerability' (2022, 13.45 min) to discuss:",,,43
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,The populations most vulnerable to the impacts of climate change.,"Use the Intergovernmental Panel on Climate Change video 'Climate Change 2022: Impacts, Adaptation and vulnerability' (2022, 13.45 min) to discuss:",,,44
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,Use the infographic from the WHO website about Climate change and a case study about the impact of climate change on a community to analyse the implications of climate change on health and human development.,,,,45
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"In groups, use a country case study, such as those found at United Nations Office for the Coordination of Humanitarian Affairs about conflict (for example Nigeria or Ukraine), and analyse the impact of conflict on health and human development. Groups report to the class about the impacts of conflict on health and human development. Collate a class list of the impacts identified.",,,,46
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,Use the UNHCR report 'Global trends: Forced Displacement in 2022' and the WHO Europe Factsheet 'The health of refugee and migrants in the WHO European Region' to create an infographic about the scale and causes of mass migration and the impact on health and human development.,,,,47
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"Use the documentary 'Obesity is Only a rich country problem, Right? Wrong' (World Bank, 2020, 6.18 min) to explore the impact of processed food on rates of disease burden.",,,,48
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"Watch the video India's Obesity Time Bomb (Bloomberg, 2023) and discuss how global distribution and marketing of processed foods is contributing to burden of disease in India.",,,,49
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"View the World Vision Australia video 'Aid and trade?' (2015, 3.11 mins) and use the case study on Indonesia presented in the video to explain the implications for health and wellbeing of increased trade.",,,,50
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"View the video 'Spinning a Global Web: The tobacco Industry's Pursuit of Minors' (2022, 3.13 min) to identify the strategies that tobacco companies use to market cigarettes. Analyse how these strategies can impact on health and human development of children around the world.",,,,51
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,Use the United Nations Tourism dashboard (select 'Global and regional tourism results') to identify the trends in global tourism. United Nations Tourism has a focus on sustainable tourism development. Explore what sustainable tourism development means and how it impacts on the health and human development of communities.,,,,52
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"In small groups, select one of the stories from the United Nations Tourism- Stories. Analyse how the tourism in the story contributes to health, human development and sustainability. Share your ideas with the rest of the class.",,,,53
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"Explore a range of digital technologies that could contribute to improved health and human development; some examples include the WHO's WhatsApp Channel, SunSmart Global UV App",,,,54
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,Read the WHO article 'WHO launches women's health chatbot with messages on breast cancer' (2021) and discuss how the use of this technology improves women's health and human development.,,,,55
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,Activity,Bullet,"Use the case study (digital article and brief video) 'Digital technology aiming to empower small-farm owners in East Africa' (Tina Trinh, Voice of America January 2017) to explain how digital technologies are enabling increased knowledge sharing; discuss implications for health and wellbeing.",,,,56
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,DetailedExample,Paragraph,Case study analysis: comparing Australia with other countries,,,,57
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KS,DetailedExampleStep,Paragraph,"Students access 'If it were my home'. Compare Australia to a variety of middle- and low-income countries. Research case studies and data from sites such as Viz Hub (University of Washington Institute for Health Metrics and Evaluation) to compare the burden of disease in low- and middle-income countries compared to Australia, and the factors that contribute to variations.",,,,58
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,DetailedExampleStep,Paragraph,Students create a presentation to demonstrate their research findings.,,,,59
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,DetailedExampleStep,Paragraph,"Use a range of case studies or video clips of middle- and low- income countries that reflect the influence of access to safe water, sanitation, poverty, and discrimination (race, religion, sex sexual orientation and/or gender identity for comparisons between Australia and a selected low- and middle-income country. Students use these case studies and video clips to analyse how these factors account for similarities and differences in health status and human development.",,,,60
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,DetailedExampleStep,Paragraph,"Students select one case study and prepare a visual presentation/report, which includes:",,,,61
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,DetailedExampleStep,Bullet,An identification and justification of the income group that the selected countries represent,,,,62
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,DetailedExampleStep,Bullet,A comparison the health status and human development of the selected country and Australia,,,,63
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,DetailedExampleStep,Bullet,Identification and explanation of two factors that could lead to differences in health status and human development.,,,,64
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,DetailedExampleStep,Paragraph,Ideas for using Information and Communication Technology (ICT) include:,,,,65
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,DetailedExampleStep,Paragraph,Apps: Keynote,,,,66
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,DetailedExampleStep,Paragraph,"Software: Comic Life, PowerPoint Web 2.0: Prezi,Canvastera, Padlet, Symbaloo, and Animoto.",,,,67
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS1,Area of Study 1 - Global health and human development,Outcome 1,VCEHHDU4AS1O1KK,DetailedExampleStep,Paragraph,Area of Study 2: health and sustainable development goals,,,,68
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,,,OutcomeHeading,Outcome 1:,,,,1
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,,,OutcomeDescription,"On completion of this unit, the student should be able to analyse the relationships between the SDGs and their role in the promotion of health and human development, and evaluate the effectiveness of global aid programs.",,,,2
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,,,SectionHeading,Examples of learning activities,,,,3
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Access the most recent United Nations Sustainable Development Goals Report,,,,4
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"Use a range of case studies that represent examples of the work undertaken by organisations, such as the United Nations or the World Health Organization, in helping to achieve the SDGs; in pairs or small groups, summarise how these examples contribute to health and human development in a global context",,,,5
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"Using Viz Hub (University of Washington Institute of Health Metrics and Evaluation) analyse differences in the progression of countries towards the SDG indicators. Access the United Nations Sustainable Development Knowledge Platform to understand the key health issues covered in SDG 3. Use websites to research one of the health-related Sustainable Development Goals (1, 2, 4, 5, 6 or 12) and analyse its relationship to SDG 3. Use the information to produce a digital presentation.",,,,6
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Access the United Nations Sustainable Development Knowledge Platform and create a list of key features covered in SDG 3; use the list to classify:,,,,7
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Key features that are of most concern in low-income countries,Access the United Nations Sustainable Development Knowledge Platform and create a list of key features covered in SDG 3; use the list to classify:,,,8
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Key features relevant to high-income countries,Access the United Nations Sustainable Development Knowledge Platform and create a list of key features covered in SDG 3; use the list to classify:,,,9
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Features that are common across all countries.,Access the United Nations Sustainable Development Knowledge Platform and create a list of key features covered in SDG 3; use the list to classify:,,,10
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KS,Activity,Paragraph,Analyse how the achievement of SDG 3 contributes towards health and human development,,,,11
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"Access the United Nations Sustainable Development Knowledge Platform and consider the key features of SDG 3. In groups, discuss key features that are relevant to Australia's health and wellbeing; research and list health programs that are operating in Australia that may relate to the key features; consider how these programs contribute to health and human development.",,,,12
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Use the SDG Progress Chart to consider the progress towards achieving SDG 3. Analyse how the achievement of SDG 3 contributes to health and human development.,,,,13
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"View the video 'Sustainable Development Goals: Leaving no one behind' examples from Papua New Guinea '(United Nations 2017, 7.15 mins). From this case study, create a mind map or visual diagram of how the goals interrelate.",,,,14
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"In small groups, use the United Nations booklet Bringing Data to Life: SDG human impact stories from across the globe, to explore stories from different communities around the world that contribute to the achievement of the SDGs. Each group should consider a different story (each story has a link to further information) and reflect on:",,,,15
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,What are the challenges identified in the story?,"In small groups, use the United Nations booklet Bringing Data to Life: SDG human impact stories from across the globe, to explore stories from different communities around the world that contribute to the achievement of the SDGs. Each group should consider a different story (each story has a link to further information) and reflect on:",,,16
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,What are the SDGs being addressed within the story?,"In small groups, use the United Nations booklet Bringing Data to Life: SDG human impact stories from across the globe, to explore stories from different communities around the world that contribute to the achievement of the SDGs. Each group should consider a different story (each story has a link to further information) and reflect on:",,,17
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,What key features is being addressed?,"In small groups, use the United Nations booklet Bringing Data to Life: SDG human impact stories from across the globe, to explore stories from different communities around the world that contribute to the achievement of the SDGs. Each group should consider a different story (each story has a link to further information) and reflect on:",,,18
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,How is the SDG being achieved?,"In small groups, use the United Nations booklet Bringing Data to Life: SDG human impact stories from across the globe, to explore stories from different communities around the world that contribute to the achievement of the SDGs. Each group should consider a different story (each story has a link to further information) and reflect on:",,,19
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,How will achieving this SDG help promote health and human development?,"In small groups, use the United Nations booklet Bringing Data to Life: SDG human impact stories from across the globe, to explore stories from different communities around the world that contribute to the achievement of the SDGs. Each group should consider a different story (each story has a link to further information) and reflect on:",,,20
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"In small groups, create a Symbaloo that contains information as well as links to further information, case studies and videos related to an SDG.",,,,21
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"In groups, create a Padlet wall relating to one specific SDG, such as SDG 1, 2, 4, 5, 6 and 12. Investigate why the goal is important, its impact on the achievement of SDG 3, links to specific programs or countries that are working towards the goal, and how this will promote health and human development. lettered points",,,,22
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"Use a lotus diagram or other graphic organiser to demonstrate the relationship between SDG 3 and SDGs 1, 2, 4, 5, 6 and 12; online templates can be found at Visual Paradigm and Creately.",,,,23
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"Access Global Health Observatory data that summarises SDG 3 health-related targets. In small groups, investigate a specific health target and report on progress and the potential to reach the specific target by 2030.",,,,24
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"In small groups, access the United Nations SDG website and explore one SDG (either SDG 1, 2, 4, 5, 6 or 12) and reflect on how the information presented about the SDG contributes to the achievement of SDG 3. Analyse how the achievement of the selected SDG can contribute to health and human development. Groups present their findings as a mind map or visual presentation and share with the rest of the class.",,,,25
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Read David's story called A passion for preservation about tourism in Ghana. Identify how the community benefits from tourism and the SDGs that are being addressed in this community. Reflect on how this contributes to the achievement of SDG 3.,,,,26
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"View the Academy 4 Social Change video Sustainable Development Goal 1: No Poverty, and identify factors contributing to poverty. Suggest how addressing SDG1 could contribute to the achievement of SDG 3. Brainstorm for individual and/or social action that could be taken to address SDG 1.",,,,27
