SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,StreamUnitASCode,AreaofStudy,StreamHeader,OutcomeCode,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,"Physical, social, emotional and intellectual development in infancy and early childhood",,1,11
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,The impact of early life experiences on future health and development,,1,12
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KK,Outcome 1,Health and Human Development Students,,Key Knowledge,The intergenerational nature of health and wellbeing.,,1,13
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Describe the stages of the human lifespan,,1,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Collect and analyse information to draw conclusions on perceptions of youth and adulthood,,1,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,"Describe the characteristics of physical, social, emotional and intellectual development",,1,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Explain the developmental changes that characterise the transition from youth to adulthood,,1,4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Analyse the role of healthy and respectful relationships in the achievement of optimal health and wellbeing,,1,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Analyse factors to be considered and resources required for the transition to parenthood,,1,6
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Analyse factors that influence development during the prenatal and early childhood stages of the human lifespan,,1,7
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS1,,Area of Study 1 - Developmental transitions,,VCEHHDU2AS1O1KS,Outcome 1,Health and Human Development Students,,Key Skills,Explain health and wellbeing as an intergenerational concept.,,1,8
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS2,,Area of Study 2 - Youth health literacy,,VCEHHDU2AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Key aspects of Australia’s health system used by youth, such as general practitioners (GPs), allied health services, alternative health services, Medicare, the Pharmaceutical Benefits Scheme (PBS) and the National Disability Insurance Scheme (NDIS)",,1,1
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS2,,Area of Study 2 - Youth health literacy,,VCEHHDU2AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"The range of services available in the local community to support the physical, social, emotional, mental and spiritual dimensions of youth health and wellbeing",,1,2
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS2,,Area of Study 2 - Youth health literacy,,VCEHHDU2AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Factors affecting youth’s access to health services and information,,1,3
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS2,,Area of Study 2 - Youth health literacy,,VCEHHDU2AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Rights and responsibilities associated with accessing health services, such as privacy and confidentiality relating to the storage, use and sharing of personal health information and data",,1,4
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS2,,Area of Study 2 - Youth health literacy,,VCEHHDU2AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,"Opportunities and challenges presented by digital media in the provision of youth health and wellbeing information, for example websites, online practitioners and digital health apps",,1,5
Health and Physical Education,Health and Human Development,,,Year 11,Unit 2,Managing health and development,VCEHHDU2AS2,,Area of Study 2 - Youth health literacy,,VCEHHDU2AS2O2KK,Outcome 2,Health and Human Development Students,,Key Knowledge,Options for consumer complaint and redress within the health system.,,1,6
