SubjectArea,Subject,Term,Definition
Technologies,Digital Technologies,Ransomware,A common type of malware that works by locking or encrypting files on a digital device so the user no longer has access to them. The cyber attacker uses the ransomware to demand a ransom. The ransom has to be paid before the user can access the files again.
Technologies,Digital Technologies,RAW,An uncompressed image file produced by digital cameras or image scanners. A RAW image has high quality because it has not been processed or compressed.
Technologies,Digital Technologies,Real-world problem,A problem that exists; it is authentic and not hypothetical or fictional. It is related to an actual event or situation and can possibly be solved through computation.
Technologies,Digital Technologies,Relational database,"A type of database that organises data into one or more tables (relations) of rows and columns. Relationships between tables can be created based on data (i.e. matching columns) that is common to each table. For example, the tables STUDENT and SUBJECT can be linked by the column SUBJECT_ID."
Technologies,Digital Technologies,Report (database),A visual presentation of data from queries. It summarises data stored in a database and is used to aid decision-making.
Technologies,Digital Technologies,Represent documents,"Model webpages by showing their separate elements: content (text), structure (e.g. headings and paragraphs) and presentation (e.g. style)."
Technologies,Digital Technologies,Requirement,"A need related to a proposed digital solution that is commonly identified as either functional or non-functional. Functional requirements outline the set of specifications or functions that a digital solution must provide (e.g. required input, output and functions; processing speed/response times; a storage capacity or a security function). Non-functional requirements outline the set of quality attributes or characteristics that a solution should have (e.g. reliability, robustness, usability, portability and maintainability)."
Technologies,Digital Technologies,"RGB (red, green and blue)","An additive colour model that uses 3 numbers to represent the ratio of red, green and blue in any individual colour."
Technologies,Digital Technologies,ROT13,An encryption and decryption algorithm that involves a letter substitution method. This simple cipher works by substituting a particular letter with the 13th letter after it.
Technologies,Digital Technologies,Safety by Design,"A set of principles that places user safety at the forefront of the design and development of online products and services. It acknowledges that digital spaces should be safe and inclusive, to protect those users most at risk of harmful content and abuse online, by encouraging a design ethos that invests in risk mitigation at the start of the design process."
Technologies,Digital Technologies,Scalable Vector Graphics (SVG),A file format that involves two-dimensional vector-based graphics using XML format.
Technologies,Digital Technologies,Security,"The measures and controls that ensure the privacy, integrity and availability of the information processed and stored by a digital system. Examples are using passwords, encrypting data when transmitted and protecting physical assets."
Technologies,Digital Technologies,Sequence,"A control structure that determines that each line of code (or statement) is followed, in order, to the end of a program, no matter what conditions are met."
Technologies,Digital Technologies,Short Message Service (SMS),A service that enables text to be sent as a message with up to 160 characters.
Technologies,Digital Technologies,Single-table (flat-file) database,"A database structured as a single table with fields, records and files. A single-table database cannot represent relationships between entities."
Technologies,Digital Technologies,SMS,*See:* Short Message Service
Technologies,Digital Technologies,Software,"A set of programs, procedures and routines associated with the operation of a digital system."
Technologies,Digital Technologies,SQL,*See:* Structured Query Language
Technologies,Digital Technologies,Storyboard,"A design tool that consists of images and text displayed to demonstrate how content (a website, video, animation or data visualisation) may appear. It represents navigation on a page or scene by scene."
Technologies,Digital Technologies,Structured data,"Data organised on the basis of a predefined model and formatted in a way that shows relationships, such as in fields, rows and columns. This structuring makes the data more easily searchable and analysable."
Technologies,Digital Technologies,Structured English,"The use of the English language to describe the steps of an algorithm in clear, unambiguous statements that can be read from start to finish. The use of keywords (e.g. START, END, IF, UNTIL) provides a syntax similar to that of a programming language to assist with identifying logical steps necessary to properly describe the algorithm. Here is a structured English description of a person's decision about how to get to a destination based on the weather and the distance from their current location to their destination. START IF it is raining outside THEN Catch the bus ELSE IF it is less than 2 km to the destination THEN Walk ELSE IF it is less than 10 km to the destination THEN Ride a bicycle ELSE Catch the bus ENDIF ENDIF END The structured English description can easily be translated into code using a programming language and it accurately captures the logical elements that must be followed to answer the question."
Technologies,Digital Technologies,Structured Query Language (SQL),A programming language for manipulating and querying a relational database. SQL statements are used to perform tasks such as retrieving data via queries.
Technologies,Digital Technologies,Styling,"Representing how a webpage is laid out, such as with heading styles and by placement of images."
Technologies,Digital Technologies,Supply chain vulnerability,Possible risks to a system involved in supplying a product or service (supply chain) to a consumer (e.g. a cyber attack resulting in malicious code that stops a system from functioning correctly).
Technologies,Digital Technologies,Sustainability,"Economic, environmental and social decisions that impact on current design decisions without compromising future needs."
Technologies,Digital Technologies,SVG,*See:* Scalable Vector Graphics
Technologies,Digital Technologies,Systems thinking,"A way of thinking holistically about the interactions and interconnections of the components of a system, based on the belief that in isolation these component parts will behave differently. Systems thinkers consider the purpose, parts, order of events and feedback in a system."
Technologies,Digital Technologies,Tablet,"A flat, thin, mobile computer fitted with a touchscreen display and a rechargeable battery. Finger or stylus gestures replace the conventional computer mouse."
Technologies,Digital Technologies,TCP,*See:* Transmission Control Protocol
Technologies,Digital Technologies,Test cases,A set of specifications or conditions and expected results used to systematically test if software solutions satisfy requirements.
Technologies,Digital Technologies,TLS,*See:* Transport Layer Security
Technologies,Digital Technologies,Trace,"The process of following an algorithm precisely to confirm that it produces the expected output for a given input. For example, a trace table allows for the manual checking of any logical errors."
Technologies,Digital Technologies,Training data,A large data set that is used to train a machine learning model to make predictions or decisions.
Technologies,Digital Technologies,Translation tool,A software tool that translates text in one spoken language to text in another spoken language.
Technologies,Digital Technologies,Transmission Control Protocol (TCP),A standard that enables data as packets to be shared between computing devices over a network using software applications.
Technologies,Digital Technologies,Transport Layer Security (TLS),"A cryptographic protocol that is used to provide security over a network. TLS is used to encrypt the communication between web applications and servers. This includes email, messaging and web browsers."
Technologies,Digital Technologies,Trusted adult,"A reliable person whom children feel comfortable talking to if they are upset or need help when engaged in online activities. They might include family members, carers and teachers."
